cat_code,category,id,ingame_name,class,rarity,rarity_source,rarity_vallode,rarity_guide,rarity_daigo_owned,G_weapon,rarity_9or10,attack_display,class_multiplier,true_raw,affinity,weapon_slots,element,element_true,sharpness,sharpness_plus1,improve_from,create_cost,create_materials,improve_cost,improve_materials,alt_create_materials,improve_to,reload,recoil,max_attack,rapid_fire,ammo_summary,bow_coatings,bow_charge_shots,armor_skills,name_eu_build
5,blademaster_weapon,19,"Wyvern Blade ""Blood""",long-sword,5,vallode,5,,,,N,768,4.8,160,0%,0,Fire 250,Fire 25,"13,1,6,10","13,1,6,13,2","Wyvern Blade ""Fall""",,,7150,Rathalos Wing x1; Rathalos Webbing x3; Tigrex Claw x4,,"Wyvern Blade ""Maple""",,,,,,,,,
5,blademaster_weapon,20,Sentinel,great-sword,2,vallode,2,,,,N,576,4.8,120,0%,1,,,"3,7,10","3,7,15",Defender,,,2600,Iron Ore x20; Earth Crystal x15; Machalite Ore x8,,Barbaroi Blade; Halberd,,,,,,,,,
5,blademaster_weapon,21,Halberd,great-sword,4,vallode,4,,,,N,864,4.8,180,0%,0,,,"12,11,2","12,11,5,2",Sentinel,4250,Dragonite Ore x8; Iron Ore x30; Monster Bone+ x2; Hercudrome x3,4250,Dragonite Ore x4; Iron Ore x15; Med Monster Bone x15,,Judgment,,,,,,,,,
5,blademaster_weapon,22,"Wyvern Blade ""Leaf""",long-sword,3,vallode,3,,,,N,528,4.8,110,0%,1,Poison 250,Poison 25,"13,1,6,5","13,1,6,10","Bone Katana ""Shark""",2600,Rathian Scale x2; Rathian Shell x5; Firewyvern Fluid x20,2600,FireWyvern Fluid x3; Machalite Ore x10; Poison Sac x5,,"Wyvern Blade ""Verde""",,,,,,,,,
5,blademaster_weapon,23,Judgment,great-sword,6,vallode,6,,6,,N,1056,4.8,220,0%,0,,,"5,3,9,3","5,3,9,8",Halberd,,,40000,Carbalite Ore x5; Machalite Ore x20; King Scarab x5,,,,,,,,,,,
5,blademaster_weapon,24,Executioner,great-sword,4,vallode,4,,,,N,816,4.8,170,0%,0,,,"18,2,5","18,2,7,3",Golem Blade+,4250,Plus Class Ticket x1; Hercudrome x1; Monster Bone+ x1,4250,Lg Monster Bone x10; Hercudrome x3; Dragonite Ore x5,Plus Class Ticket x1; Hercudrome x1; Monster Bone+ x1,Executioner+; Agito; Kirin Thundersword; Sword of the Diablos,,,,,,,,,
5,blademaster_weapon,25,Executioner+,great-sword,4,vallode,4,,,,N,816,4.8,170,0%,0,,,"18,2,5","18,2,7,3",Golem Blade+,4250,Plus Class Ticket x1; Hercudrome x1; Monster Bone+ x1,4250,Lg Monster Bone x10; Hercudrome x3; Dragonite Ore x5,Plus Class Ticket x1; Hercudrome x1; Monster Bone+ x1,Executioner+; Agito; Kirin Thundersword; Sword of the Diablos,,,,,,,,,
5,blademaster_weapon,26,Dark Scythe,long-sword,3,vallode,3,,,,N,624,4.8,130,-10%,0,,,"12,11,5,2","12,11,5,4,3","Iron Katana ""Grace""",2150,Lg Monster Bone x6; Bulldrome Tusk x3; Knife Mackerel x8; Monster Fluid x4,2150,Piscine Fang x8; Killer Beetle x3; Unknown Skull x2,,Tormentor; Crimson Scythe,,,,,,,,,
5,blademaster_weapon,27,Tormentor,long-sword,4,vallode,4,,,,N,960,4.8,200,-10%,0,,,"18,2,7,3","18,2,7,7,1",Dark Scythe,5600,Plus Class Ticket x1; Black Blos Spine x1,5600,Eldr Dragon Bone x5; Black Blos Shell x4; Black Blos Spine x4,,Scythe of Menace; Crab Cutter,,,,,,,,,
5,blademaster_weapon,28,Bone Blade,great-sword,1,vallode,1,,,,N,336,4.8,70,0%,0,,,"9,4,2","9,4,7",,500,Sm Monster Bone x3,,,,Bone Blade+,,,,,,,,,
5,blademaster_weapon,29,Bone Blade+,great-sword,1,vallode,1,,,,N,336,4.8,70,0%,0,,,"9,4,2","9,4,7",,500,Sm Monster Bone x3,,,,Bone Blade+,,,,,,,,,
5,blademaster_weapon,30,Agito,great-sword,6,vallode,6,,,,N,960,4.8,200,0%,0,,,"9,4,11,1","9,4,11,6",Executioner,25000,Hrd Monster Bone x5; Med Monster Bone x20; Lg Monster Bone x10,25000,Hrd Monster Bone x2; Monster Bone+ x5; Lg Monster Bone x8,Plus Class Ticket x1; Hrd Monster Bone x1,Wyvern Agito; Rusty Claymore,,,,,,,,,
5,blademaster_weapon,31,Black Katana Mk.III,long-sword,6,vallode,6,,,,N,720,4.8,150,15%,2,,,"5,3,9,14,6,3","5,3,9,14,6,5,3",Black Katana Mk.II,,,55000,Hornetaur Head x6; HornetaurInnrWng x10; King Scarab x5,,Lost Black Katana,,,,,,,,,
5,blademaster_weapon,32,Wyvern Agito,great-sword,6,vallode,6,,,,N,1008,4.8,210,0%,0,,,"9,4,11,6","9,4,11,7,4",Agito,,,35000,Cephalos Scale+ x5; Hrd Monster Bone x3; Piscine Fang x20,,True Dragon's Jaw; Demon Rod,,,,,,,,,
5,blademaster_weapon,33,Red Stripe,great-sword,2,vallode,2,,,,N,624,4.8,130,0%,0,,,"3,7,5","3,7,10",Bone Blade+,2150,Sm Hermitaur Shl x5; Brute Bone x2; Sharp Claw x3; Black Pearl x1,2150,Sm Monster Bone x4; Anteka Antlers x3; Sm Hermitaur Shl x3,,Red Pincer; Ceanataur Blade,,,,,,,,,
5,blademaster_weapon,34,Golem Blade,great-sword,2,vallode,2,,,,N,528,4.8,110,0%,2,,,"3,7,15","3,7,18,2",Bone Slasher,1750,Lg Monster Bone x3; Brute Bone x8; Sharp Claw x6; Carpenterbug x10,1750,Med Monster Bone x2; Sharp Claw x6; Monster Fluid x1,,Golem Blade+,,,,,,,,,
5,blademaster_weapon,35,Valkyrie Blade,great-sword,3,vallode,3,,,,N,624,4.8,130,0%,2,,,"8,3,11,3","8,3,11,8",Golem Blade+,3100,Rathian Scale x4; Rathian Shell x3; FireWyvern Fluid x4; Mega Demondrug x1,3100,FireWyvern Fluid x3; Wyvern Fang x5; Giant Bone x3,,Sieglinde; Titernia; Spartacus Blade,,,,,,,,,
5,blademaster_weapon,36,Sieglinde,great-sword,5,vallode,5,,5,,N,912,4.8,190,0%,2,,,"16,3,2,9","16,3,2,9,5",Valkyrie Blade,,,8000,Rathian Shell x3; Rathian Scale x6; Rathian Spike x2,,,,,,,,,,,
5,blademaster_weapon,37,Dragonslayer,great-sword,5,vallode,5,,,,N,624,4.8,130,0%,0,Dragon 460,Dragon 46,"5,3,9,8","5,3,9,13",,5600,Lao-Shan's Scale x8; DaoraDragonScale x8; Fire Dragon Scl x8; Tigrex Scale x8,,,,Eternal Annihilator,,,,,,,,,
5,blademaster_weapon,38,Red Pincer,great-sword,3,vallode,3,,,,N,720,4.8,150,0%,2,,,"3,7,15","3,7,18,2",Red Stripe,,,3100,Hermitaur Claw x2; Hermitaur Shell x5; Giant Bone x2,,Great Pincer,,,,,,,,,
5,blademaster_weapon,39,Finblade,great-sword,2,vallode,2,,,,N,480,4.8,100,0%,0,Water 260,Water 26,"8,3,4","8,3,9",Bone Slasher,2150,Cephalos Scale x4; Springnight Carp x2; Piscine Fang x2; Monster Fluid x3,2150,Cephalos Fin x2; Lg Monster Bone x2; Machalite Ore x3,,Plesioth Watersword,,,,,,,,,
5,blademaster_weapon,40,Ceanataur Blade,great-sword,4,vallode,4,,,,N,720,4.8,150,0%,0,,,"5,3,9,8","5,3,9,13",Red Stripe,,,3650,Ceanataur Leg x2; Ceanataur Shell x5; Knife Mackerel x10,,Blue Claw Blade,,,,,,,,,
5,blademaster_weapon,41,Plesioth Watersword,great-sword,3,vallode,3,,,,N,576,4.8,120,0%,0,Water 390,Water 39,"13,1,6,5","13,1,6,10",Finblade,,,3650,Plesioth Fin x3; Plesioth Scale x4; Mega Demondrug x1,,Plesioth Crystasword,,,,,,,,,
5,blademaster_weapon,42,Red Wing,great-sword,3,vallode,3,,,,N,528,4.8,110,0%,1,Fire 150,Fire 15,"8,3,11,3","8,3,11,8",Bone Slasher,2150,Rathalos Scale x2; Fire Wyvern Claw x2; FireWyvern Fluid x4; Flame Sac x4,2150,FireWyvern Fluid x3; Lg Monster Bone x4; Flame Sac x2,,Rathalos Firesword; Blue Wing,,,,,,,,,
5,blademaster_weapon,43,Rathalos Firesword,great-sword,5,vallode,5,,5,,N,768,4.8,160,0%,1,Fire 420,Fire 42,"7,2,10,7","7,2,10,7,2",Red Wing,,,8000,Rathalos Wing x2; FireWyvrn Marrow x3; Fire Wyvern Claw x5,,,,,,,,,,,
5,blademaster_weapon,44,Rusted Great Sword,great-sword,1,vallode,1,,,,N,432,4.8,90,0%,0,,,"18,2","18,2,5",,1000,Flat Ruststone x1,,,,Tarnished Great Swd,,,,,,,,,
5,blademaster_weapon,45,Tarnished Great Swd,great-sword,1,vallode,1,,,,N,528,4.8,110,0%,0,,,"18,2,5","18,2,7,3",Rusted Great Sword,,,2500,Earth Crystal x20,,Ancient Blade; Steel Ice Blade,,,,,,,,,
5,blademaster_weapon,46,Blue Claw Blade,great-sword,4,vallode,4,,,,N,816,4.8,170,0%,0,,,"5,3,9,13","5,3,9,14,4",Ceanataur Blade,,,4900,Ceanataur Pincer x1; Ceanataur Claw x3; Monster Bone+ x2,,Killer's Scythe,,,,,,,,,
5,blademaster_weapon,47,Ancient Blade,great-sword,5,vallode,5,,5,,N,864,4.8,180,-20%,0,Dragon 100,Dragon 10,"16,3,2,9","16,3,2,9,5",Tarnished Great Swd,,,40000,Earth Crystal x40; ElderDragonBlood x1,,,,,,,,,,,
5,blademaster_weapon,48,Bone,long-sword,1,vallode,1,,,,N,336,4.8,70,0%,0,,,"13,1,1","13,1,6",,500,Bone x2,,,,Large Bone,,,,,,,,,
5,blademaster_weapon,49,Dragonwood L.Sword,long-sword,5,vallode,5,,,,N,576,4.8,120,0%,0,Paralysis 190,Paralysis 19,"3,7,18,2","3,7,18,4,3",,20,Dragonwood x3; Dragonmoss x1; Chaos Mushroom x10; Thunderbug x15,,,,Fanatic Dragonwd LS,,,,,,,,,
5,blademaster_weapon,50,Fire Dragonsword,long-sword,5,vallode,5,,,,N,720,4.8,150,0%,1,Dragon 350,Dragon 35,"16,3,2,4","16,3,2,9","Bone Katana ""Dragon""",6350,Lao-Shan's Horn x1; Lao-Shan's Claw x2; Firestone x10; Commendation x5,6350,Lao-Shan's Horn x1; Firestone x5; ElderDragonBlood x2,,Red Dragonsword,,,,,,,,,
5,blademaster_weapon,51,Red Dragonsword,long-sword,5,vallode,5,,,,N,768,4.8,160,0%,1,Dragon 450,Dragon 45,"16,3,2,9","16,3,2,9,5",Fire Dragonsword,,,40000,Lao-Shan's Horn x3; Firestone x8; Teostra Horn x3,,Smolder Dragonsword,,,,,,,,,
5,blademaster_weapon,52,Buster Sword+,great-sword,1,vallode,1,,,,N,288,4.8,60,0%,0,,,"5,3,7","5,3,9,3",,500,Iron Ore x1; Disk Stone x3,,,,Buster Sword+; White Serpentblade; Blango Destroyer,,,,,,,,,
5,blademaster_weapon,53,Sword of the Diablos,great-sword,5,vallode,5,,,,N,912,4.8,190,-10%,0,,,"9,4,11,6","9,4,11,7,4",Executioner,,,5600,TwstBlkBlosHrn x2; Diablos Tail x3; Black Blos Tail x3,,Diablo Destroyer,,,,,,,,,
5,blademaster_weapon,54,Vile Serpentblade,great-sword,2,vallode,2,,,,N,528,4.8,110,0%,1,,,"5,3,9,13","5,3,9,14,4",Silver Serpentblade,,,2150,Velocidrome Claw x4; Velocidrome Hide x5; Velociprey Scale x10,,Deadly Serpentblade,,,,,,,,,
5,blademaster_weapon,55,Iron Devil,hammer,6,vallode,6,,,,N,988,5.2,190,0%,0,,,"9,2,13,1","9,2,13,6",Anvil Hammer,25000,Carbalite Ore x5; Iron Ore x50; Disk Stone x30,25000,Carbalite Ore x3; Iron Ore x30; Dragonite Ore x5,Plus Class Tcket x1; Carbalite Ore x1,Great Demon Hammer; Fist of Fury,,,,,,,,,
5,blademaster_weapon,56,War Hammer+,hammer,1,vallode,1,,,,N,312,5.2,60,0%,0,,,"9,2,4","9,2,9",,500,Iron Ore x3; Disk Stone x1,,,,War Hammer+,,,,,,,,,
5,blademaster_weapon,57,War Hammer,hammer,1,vallode,1,,,,N,312,5.2,60,0%,0,,,"9,2,4","9,2,9",,500,Iron Ore x3; Disk Stone x1,,,,War Hammer+,,,,,,,,,
5,blademaster_weapon,58,Torment Hammer,hammer,6,vallode,6,,,,N,884,5.2,170,0%,1,Fire 250,Fire 25,"8,7,7,8","8,7,7,11,2",Graviton Hammer,,,45000,Blk Gravios Shl x8; Carbalite Ore x20; Inferno Sac x4,,Torment (Purgatory),,,,,,,,,
5,blademaster_weapon,59,War Mace,hammer,1,vallode,1,,,,N,468,5.2,90,0%,0,,,"3,2,10","3,2,15",War Hammer+,,,1100,Iron Ore x10; Disk Stone x5,,Iron Striker; Anchor Hammer; Black Cauldron; Bone Axe; Metal Bagpipe,,,,,,,,,
5,blademaster_weapon,60,Iron Striker,hammer,2,vallode,2,,,,N,624,5.2,120,0%,0,,,"9,2,13,1","9,2,13,6",War Mace,2150,Earth Crystal x10; Iron Ore x20; Disk Stone x20,2150,Iron Ore x12; Machalite Ore x5; Earth Crystal x3,,Iron Striker+; Gunhammer Prototype,,,,,,,,,
5,blademaster_weapon,61,Bull Head Hammer,hammer,3,vallode,3,,,,N,624,5.2,120,0%,1,,,"8,7,5","8,7,7,3",Bull Hammer,,,2150,Bulldrome Hide x2; Bulldrome Tusk x2; Giant Bone x1,,Bull Tusk Hammer,,,,,,,,,
5,blademaster_weapon,62,Diablos Hammer,hammer,6,vallode,6,,,,N,1092,5.2,210,-10%,0,,,"10,1,3,16","10,1,3,17,4",Hard Bone Hammer+,,,45000,Blood Red Horn x1; TwstBlkBlosHrn x1; Black Blos Cpc x6,,Diablo Chaos Broker,,,,,,,,,
5,blademaster_weapon,63,Iron Impact,hammer,7,vallode,7,,,,N,1092,5.2,210,0%,3,,,"6,4,8,12","6,4,8,12,5",Great Demon Hammer,,,55000,Union Ore x25; Iron Ore x50; Novacrystal x5,,Iron Repellant; Icy Impact,,,,,,,,,
5,blademaster_weapon,64,Spiked Hammer,hammer,2,vallode,2,,,,N,520,5.2,100,0%,0,,,"10,1,3,1","10,1,3,6",War Hammer+,,,1400,Iron Ore x10; Needleberry x10; Carpenterbug x5,,Spiked Hammer+,,,,,,,,,
5,blademaster_weapon,65,Spiked Hammer+,hammer,2,vallode,2,,,,N,520,5.2,100,0%,0,,,"10,1,3,1","10,1,3,6",War Hammer+,,,1400,Iron Ore x10; Needleberry x10; Carpenterbug x5,,Spiked Hammer+,,,,,,,,,
5,blademaster_weapon,66,Crystal Hammer,hammer,3,vallode,3,,,,N,676,5.2,130,0%,1,,,"8,7,7,3","8,7,7,8",Spiked Hammer+,2600,Lightcrystal x2; Iron Ore x25; Ice Crystal x7; Carpenterbug x10,2600,Lightcrystal x1; Machalite Ore x8; Killer Beetle x6,,Crystal Nova,,,,,,,,,
5,blademaster_weapon,67,Crystal Nova,hammer,4,vallode,4,,,,N,780,5.2,150,0%,1,,,"8,7,7,8","8,7,7,11,2",Crystal Hammer,,,3650,Lightcrystal x3; Rainbow Ore x2; Ice Crystal x10,,Great Nova; Gigaton Hammer,,,,,,,,,
5,blademaster_weapon,68,Anvil Hammer,hammer,5,vallode,5,,6,,N,884,5.2,170,0%,1,,,"3,2,17,8","3,2,17,12,1",Iron Striker+,,,6350,Gravios Shell x2; Dragonite Ore x10; Iron Ore x30,,Onslaught Hammer; War Stamp; Bronze Bell; Sakura Recorder; Iron Devil,,,,,,,,,
5,blademaster_weapon,69,Venom Monster,hammer,3,vallode,3,,,,N,572,5.2,110,10%,1,Poison 260,Poison 26,"14,4,6,6","14,4,6,7,4",Kut-Ku Jaw,,,3100,Rubbery Hide x10; Poison Sac x5; Gypceros Head x1,,Death Venom Hammer,,,,,,,,,
5,blademaster_weapon,70,Bone Axe,hammer,2,vallode,2,,,,N,624,5.2,120,0%,1,,,"6,4,5","6,4,8,2",War Mace,,,2150,Med Monster Bone x3; Sm Monster Bone x3; Monster Fluid x1,,Bone Broadaxe,,,,,,,,,
5,blademaster_weapon,71,Lobster Hammer,hammer,6,vallode,6,,,,N,936,5.2,180,0%,1,Water 200,Water 20,"6,4,8,7","6,4,8,12",Hard Bone Hammer,,,30000,Sm Lobstershell x4; Iodrome Hide x10; Carbalite Ore x10,,King Lobster Hammer,,,,,,,,,
5,blademaster_weapon,72,Bone Broadaxe,hammer,4,vallode,4,,,,N,936,5.2,180,5%,2,,,"14,4,6,1","14,4,6,6",Bone Axe,,,5600,Monster Bone+ x2; Lg Monster Bone x4; Tigrex Shell x4,,Bone Great Axe,,,,,,,,,
5,blademaster_weapon,73,Gigaton Hammer,hammer,4,vallode,4,,,,N,832,5.2,160,-10%,1,,,"6,4,8,2","6,4,8,7",Crystal Nova,,,4250,Gravios Skl Shl x1; Basarios Shell x4; Machalite Ore x10,,Titan Hammer,,,,,,,,,
5,blademaster_weapon,74,Anchor Hammer,hammer,3,vallode,3,,,,N,572,5.2,110,0%,1,Water 100,Water 10,"9,2,13,1","9,2,13,6",War Mace,,,2150,Speartuna x1; Cephalos Fin x2; Disk Stone x20,,Anchor Hammer+,,,,,,,,,
5,blademaster_weapon,75,Conehead Hammer,hammer,2,vallode,2,,,,N,416,5.2,80,0%,0,Ice 180,Ice 18,"3,2,10","3,2,15",Cyclo-Hammer,,,1400,Blango Pelt x6; Iron Ore x6; Unknown Skull x1,,Conehead Hammer+,,,,,,,,,
5,blademaster_weapon,76,Raven Torrent,hammer,5,vallode,5,,,,N,728,5.2,140,20%,1,,,"14,4,6,6","14,4,6,7,4",Kut-Ku Jaw,10000,Sharpened Beak x2; Garuga Mane x4; Garuga Scale x8,10000,Sharpened Beak x1; Garuga Ear x2; Garuga Mane x3,,Wolf Torrent,,,,,,,,,
5,blademaster_weapon,77,Graviton Hammer,hammer,5,vallode,5,,,,N,780,5.2,150,0%,2,Poison 180,Poison 18,"14,4,6,6","14,4,6,7,4",Shell Hammer,,,4900,Gravios Shell x10; Machalite Ore x10; Chameleos Claw x1,,Torment Hammer; Crater Maker,,,,,,,,,
5,blademaster_weapon,78,Hard Bone Hammer,hammer,6,vallode,6,,,,N,1040,5.2,200,0%,0,,,"5,4,14,2","5,4,14,7",Kut-Ku Pick,25000,Stout Bone x5; Giant Bone x20; Sm Monster Bone x60; Iron Ore x15,25000,Stout Bone x2; Eldr Dragon Bone x5; Brute Bone x60,Plus Class Tcket x1; Stout Bone x1,Hard Bone Hammer+; Lobster Hammer,,,,,,,,,
5,blademaster_weapon,79,Hard Bone Hammer+,hammer,6,vallode,6,,,,N,1040,5.2,200,0%,0,,,"5,4,14,2","5,4,14,7",Kut-Ku Pick,25000,Stout Bone x5; Giant Bone x20; Sm Monster Bone x60; Iron Ore x15,25000,Stout Bone x2; Eldr Dragon Bone x5; Brute Bone x60,Plus Class Tcket x1; Stout Bone x1,Hard Bone Hammer+; Lobster Hammer,,,,,,,,,
5,blademaster_weapon,80,Cyclo-Hammer,hammer,1,vallode,1,,,,N,468,5.2,90,0%,0,,,"5,4,6","5,4,11",Bone Club,1100,Hard Ticket x1; Sm Monster Bone x1,1750,Brute Bone x3; Sm Monster Bone x3,,Atlas Hammer; Skullcrusher; Conehead Hammer; Bone Horn,,,,,,,,,
5,blademaster_weapon,81,Dragonhead Hammer,hammer,3,vallode,3,,,,N,676,5.2,130,0%,2,,,"19,2,5,4","19,2,5,7,2",Skullcrusher+,2600,Wyvern Skull Shl x2; Lg Monster Bone x3; Unknown Skull x5; Killer Beetle x10,2600,Wyvern Skull Shl x1; Giant Bone x3; Unknown Skull x3,,Ancient Relic; Basarios Blow,,,,,,,,,
5,blademaster_weapon,82,Atlas Hammer,hammer,2,vallode,2,,,,N,572,5.2,110,0%,0,,,"5,4,11","5,4,14,2",Cyclo-Hammer,,,1750,Giant Bone x2; Sm Monster Bone x10,,Kut-Ku Jaw; Jail Hammer; Khezu Horn,,,,,,,,,
5,blademaster_weapon,83,Skullcrusher,hammer,2,vallode,2,,,,N,520,5.2,100,0%,0,,,"3,2,10","3,2,15",Cyclo-Hammer,,,1400,Med Monster Bone x2; Sharp Claw x8; Monster Fluid x1,,Skullcrusher+,,,,,,,,,
5,blademaster_weapon,84,Skullcrusher+,hammer,2,vallode,2,,,,N,520,5.2,100,0%,0,,,"3,2,10","3,2,15",Cyclo-Hammer,,,1400,Med Monster Bone x2; Sharp Claw x8; Monster Fluid x1,,Skullcrusher+,,,,,,,,,
5,blademaster_weapon,85,Kut-Ku Jaw,hammer,3,vallode,3,,,,N,676,5.2,130,0%,0,,,"5,4,14,2","5,4,14,7",Atlas Hammer,2600,Giant Beak x1; Piscine Fang x5; Kut-Ku Scale x5; Mega Demondrug x1,2600,Giant Beak x1; Sharp Claw x5; Monster Fluid x2,,Kut-Ku Pick; Raven Torrent; Dynamic Hammer; Venom Monster,,,,,,,,,
5,blademaster_weapon,86,Great Cone,hammer,7,vallode,7,,,,N,884,5.2,170,0%,2,Ice 400,Ice 40,"3,2,17,12,1","3,2,17,12,4,2",Conehead Hammer+,,,50000,Blangonga Fang+ x5; Blangonga Pelt+ x10; Master's Skull x1,,Desert Cone,,,,,,,,,
5,blademaster_weapon,87,Titan Hammer,hammer,5,vallode,5,,6,,N,1040,5.2,200,-15%,1,,,"8,7,7,3","8,7,7,8",Gigaton Hammer,,,8000,Gravios Shell x10; Gaoren Shell x4; Machalite Ore x15,,,,,,,,,,,
