item_id,name_ULES,name_ULUS,name_ENGPATCH,name_JP,name_COMPLETE,item_tag,item_tag_JP,storable,not_storable_reason,is_decoration,x99_able,max_stack,special,rarity,grindable,tradeable
24,Psychoserum,Psychoserum,Psychoserum,千里眼の薬,Psychoserum,,,yes,,no,yes,99,,3,no,no
25,Monster Fluid,Monster Fluid,Monster Fluid,モンスターの体液,Monster Fluid,,,yes,,no,yes,99,,4,no,no
26,Monster Broth,Monster Broth,Monster Broth,モンスターの濃汁,Monster Broth,,,yes,,no,yes,99,,5,yes,no
27,Monster Essence,Monster Essence,Monster Broth+,モンスターの特濃,Monster Essence,,,yes,,no,yes,99,,5,yes,no
28,Thunderbug Juice,Thunderbug Juice,Thunderbug Juice,雷光エキス,Thunderbug Juice,,,yes,,no,yes,99,,5,yes,no
29,Thunderbug Jelly,Thunderbug Jelly,Thunderbug Jelly,雷光ゼリー,Thunderbug Jelly,,,yes,,no,yes,99,,5,yes,no
30,Herbal Medicine,Herbal Medicine,Herbal Medicine,漢方薬,Herbal Medicine,,,yes,,no,yes,99,,2,no,yes
31,Max Potion,Max Potion,Max Potion,秘薬,Max Potion,,,yes,,no,yes,99,,3,yes,yes
32,Ancient Potion,Ancient Potion,Ancient Potion,いにしえの秘薬,Ancient Potion,,,yes,,no,yes,99,,5,no,no
33,Catalyst,Catalyst,Catalyst,増強剤,Catalyst,,,yes,,no,yes,99,,2,no,yes
34,Energy Drink,Energy Drink,Energy Drink,元気ドリンコ,Energy Drink,,,yes,,no,yes,99,,2,yes,yes
35,Gunpowder,Gunpowder,Gunpowder,爆薬,Gunpowder,,,yes,,no,yes,99,,2,no,no
36,Lifecrystals,Lifecrystals,Lifecrystals,生命の粉,Lifecrystals,,,yes,,no,yes,99,,3,no,no
37,Lifepowder,Lifepowder,Lifepowder,生命の粉塵,Lifepowder,,,yes,,no,yes,99,,4,no,no
38,Powercharm,Powercharm,Powercharm,力の護符,Powercharm,,,yes,,no,yes,99,,5,no,no
39,Powertalon,Powertalon,Powertalon,力の爪,Powertalon,,,yes,,no,yes,99,,5,no,no
40,Armorcharm,Armorcharm,Armorcharm,守りの護符,Armorcharm,,,yes,,no,yes,99,,5,no,no
41,Armortalon,Armortalon,Armortalon,守りの爪,Armortalon,,,yes,,no,yes,99,,5,no,no
42,Tranquilizer,Tranquilizer,Tranquilizer,捕獲用麻酔薬,Tranquilizer,,,yes,,no,yes,99,,4,no,no
43,Raw Meat,Raw Meat,Raw Meat,生肉,Raw Meat,,,yes,,no,yes,99,,1,no,yes
44,Poisoned Meat,Poisoned Meat,Poisoned Meat,毒生肉,Poisoned Meat,,,yes,,no,yes,99,,1,no,no
45,Tainted Meat,Tainted Meat,Tainted Meat,シビレ生肉,Tainted Meat,,,yes,,no,yes,99,,2,no,no
46,Drugged Meat,Drugged Meat,Drugged Meat,眠り生肉,Drugged Meat,,,yes,,no,yes,99,,1,no,no
47,Rare Steak,Rare Steak,Rare Steak,生焼け肉,Rare Steak,,,yes,,no,yes,99,,1,yes,yes
48,Well-Done Steak,Well-Done Steak,Well-Done Steak,こんがり肉,Well-Done Steak,,,yes,,no,yes,99,,2,yes,yes
49,Gourmet Steak,Gourmet Steak,Gourmet Steak,こんがり肉Ｇ,Gourmet Steak,,,yes,,no,yes,99,,3,yes,yes
50,Burnt Meat,Burnt Meat,Burnt Meat,コゲ肉,Burnt Meat,,,yes,,no,yes,99,,1,yes,yes
51,Hot Meat,Hot Meat,Hot Meat,ホットミート,Hot Meat,,,yes,,no,yes,99,,1,yes,yes
52,Cold Meat,Cold Meat,Cold Meat,クーラーミート,Cold Meat,,,yes,,no,yes,99,,1,yes,yes
53,Rare Fish,Rare Fish,Rare Fish,生焼け魚,Rare Fish,,,yes,,no,yes,99,,1,yes,yes
54,Gourmet Fish,Gourmet Fish,Gourmet Fish,こんがり魚,Gourmet Fish,,,yes,,no,yes,99,,2,yes,yes
55,Gourmet Fish+,Gourmet Fish+,Gourmet Fish+,こんがり魚Ｇ,Gourmet Fish+,,,yes,,no,yes,99,,3,yes,yes
56,Burnt Fish,Burnt Fish,Burnt Fish,コゲ魚,Burnt Fish,,,yes,,no,yes,99,,1,yes,yes
57,Boomerang,Boomerang,Boomerang,ブーメラン,Boomerang,,,yes,,no,yes,99,,4,no,no
58,Throwing Knife,Throwing Knife,Throwing Knife,投げナイフ,Throwing Knife,Supply Item,支給品専用,no,quest-only: Supply Item tag,no,no,0,,,no,no
59,Poison Thrw Knf,Poison Thrw Knf,Poison Thrw Knf,毒投げナイフ,Poison Thrw Knf,Supply Item,支給品専用,no,quest-only: Supply Item tag,no,no,0,,,no,no
60,Sleeping Thr Knf,Sleeping Thr Knf,Sleeping Thrw Knf,眠り投げナイフ,Sleeping Thr Knf,Supply Item,支給品専用,no,quest-only: Supply Item tag,no,no,0,,,no,no
61,Paralyze Thr Knf,Paralyze Thr Knf,Paralyze Thrw Knf,麻痺投げナイフ,Paralyze Thr Knf,Supply Item,支給品専用,no,quest-only: Supply Item tag,no,no,0,,,no,no
62,Tranq Thrwng Knf,Tranq Thrwng Knf,Tranq Thrw Knf,捕獲用麻酔ナイフ,Tranq Thrwng Knf,Supply Item,支給品専用,no,quest-only: Supply Item tag,no,no,0,,,no,no
63,Bomb Material,Bomb Material,Bomb Material,素材玉,Bomb Material,,,yes,,no,yes,99,,1,no,yes
64,Paintball,Paintball,Paintball,ペイントボール,Paintball,,,yes,,no,yes,99,,1,no,no
65,Flash Bomb,Flash Bomb,Flash Bomb,閃光玉,Flash Bomb,,,yes,,no,yes,99,,2,no,no
66,Sonic Bomb,Sonic Bomb,Sonic Bomb,音爆弾,Sonic Bomb,,,yes,,no,yes,99,,2,yes,yes
67,Dung,Dung,Dung,モンスターのフン,Dung,,,yes,,no,yes,99,,1,yes,yes
68,Wyvern Droppings,Wyvern Droppings,Wyvern Droppings,飛竜のフン,Wyvern Droppings,,,yes,,no,yes,99,,4,yes,no
69,Dung Bomb,Dung Bomb,Dung Bomb,こやし玉,Dung Bomb,,,yes,,no,yes,99,,2,yes,yes
70,Smoke Bomb,Smoke Bomb,Smoke Bomb,けむり玉,Smoke Bomb,,,yes,,no,yes,99,,2,no,no
71,Poison Smoke Bmb,Poison Smoke Bmb,Poison Smoke Bomb,毒けむり玉,Poison Smoke Bmb,,,yes,,no,yes,99,,2,no,no
72,Farcaster,Farcaster,Farcaster,モドリ玉,Farcaster,,,yes,,no,yes,99,,3,no,yes
73,Deodorant,Deodorant,Deodorant,消臭玉,Deodorant,,,yes,,no,yes,99,,2,no,no
74,Tranq Bomb,Tranq Bomb,Tranq Bomb,捕獲用麻酔玉,Tranq Bomb,,,yes,,no,yes,99,,4,no,no
75,Spiderweb,Spiderweb,Spiderweb,クモの巣,Spiderweb,,,yes,,no,yes,99,,1,yes,yes
76,Net,Net,Net,ネット,Net,,,yes,,no,yes,99,,2,yes,yes
77,Trap Tool,Trap Tool,Trap Tool,トラップツール,Trap Tool,,,yes,,no,yes,99,,3,no,no
78,Pitfall Trap,Pitfall Trap,Pitfall Trap,落とし穴,Pitfall Trap,,,yes,,no,yes,99,,3,yes,yes
79,Shock Trap,Shock Trap,Shock Trap,シビレ罠,Shock Trap,,,yes,,no,yes,99,,3,no,no
80,Lightning Rod,Lightning Rod,Lightning Rod,爆雷針,Lightning Rod,,,yes,,no,yes,99,,3,no,no
81,Barrel Lid,Barrel Lid,Barrel Lid,タルの蓋,Barrel Lid,,,yes,,no,yes,99,,5,yes,no
82,Small Barrel,Small Barrel,Small Barrel,小タル,Small Barrel,,,yes,,no,yes,99,,1,no,no
83,Large Barrel,Large Barrel,Large Barrel,大タル,Large Barrel,,,yes,,no,yes,99,,2,no,no
84,Sm Barrel-Bomb,Sm Barrel-Bomb,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,,,yes,,no,yes,99,,2,no,no
85,Sm Barrel-Bomb+,Sm Barrel-Bomb+,Sm Barrel-Bomb+,小タル爆弾Ｇ,Sm Barrel-Bomb+,,,yes,,no,yes,99,,4,no,no
86,Lg Barrel-Bomb,Lg Barrel-Bomb,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,,,yes,,no,yes,99,,3,no,no
87,Lg Barrel-Bomb+,Lg Barrel-Bomb+,Lg Barrel-Bomb+,大タル爆弾Ｇ,Lg Barrel-Bomb+,,,yes,,no,yes,99,,4,no,no
88,Bounce Bomb,Bounce Bomb,Bounce Bomb,打上げタル爆弾,Bounce Bomb,,,yes,,no,yes,99,,2,no,no
89,Bounce Bomb+,Bounce Bomb+,Bounce Bomb+,打上げタル爆弾Ｇ,Bounce Bomb+,,,yes,,no,yes,99,,4,no,no
90,Anti-Dragon Bomb,Anti-Dragon Bomb,Anti-Dragon Bomb,対巨龍爆弾,Anti-Dragon Bomb,Supply Item,支給品専用,no,quest-only: Supply Item tag,no,no,0,,,no,no
91,dummy,Polytan Bomb,Polytan Bomb,ポリタン爆弾,Polytan Bomb,,,yes,,no,yes,99,,5,yes,no
92,dummy,JUMP Barrel-Bomb,Jump Barrel Bmb,ＪＵＭＰタル爆弾,JUMP Barrel Bomb,,,yes,,no,yes,99,,5,yes,no
93,Huskberry,Huskberry,Huskberry,カラの実,Huskberry,,,yes,,no,yes,99,,1,no,no
94,Sm Bone Husk,Sm Bone Husk,Sm Bone Husk,カラ骨【小】,Sm Bone Husk,,,yes,,no,yes,99,,2,no,no
95,Lg Bone Husk,Lg Bone Husk,Lg Bone Husk,カラ骨【大】,Lg Bone Husk,,,yes,,no,yes,99,,3,yes,yes
96,Normal S Lv1,Normal S Lv1,Normal S Lv1,LV1 通常弾,Normal S Lv1,,,yes,,no,yes,255,infinite (255),1,no,no
97,Normal S Lv2,Normal S Lv2,Normal S Lv2,LV2 通常弾,Normal S Lv2,,,yes,,no,yes,99,,1,no,no
98,Normal S Lv3,Normal S Lv3,Normal S Lv3,LV3 通常弾,Normal S Lv3,,,yes,,no,yes,99,,2,no,no
99,Pierce S Lv1,Pierce S Lv1,Pierce S Lv1,LV1 貫通弾,Pierce S Lv1,,,yes,,no,yes,99,,2,no,no
100,Pierce S Lv2,Pierce S Lv2,Pierce S Lv2,LV2 貫通弾,Pierce S Lv2,,,yes,,no,yes,99,,2,no,no
101,Pierce S Lv3,Pierce S Lv3,Pierce S Lv3,LV3 貫通弾,Pierce S Lv3,,,yes,,no,yes,99,,3,no,no
102,Pellet S Lv1,Pellet S Lv1,Pellet S Lv1,LV1 散弾,Pellet S Lv1,,,yes,,no,yes,99,,2,no,no
103,Pellet S Lv2,Pellet S Lv2,Pellet S Lv2,LV2 散弾,Pellet S Lv2,,,yes,,no,yes,99,,2,no,no
104,Pellet S Lv3,Pellet S Lv3,Pellet S Lv3,LV3 散弾,Pellet S Lv3,,,yes,,no,yes,99,,3,no,no
105,Crag S Lv1,Crag S Lv1,Crag S Lv1,LV1 徹甲榴弾,Crag S Lv1,,,yes,,no,yes,99,,3,no,no
106,Crag S Lv2,Crag S Lv2,Crag S Lv2,LV2 徹甲榴弾,Crag S Lv2,,,yes,,no,yes,99,,3,no,no
107,Crag S Lv3,Crag S Lv3,Crag S Lv3,LV3 徹甲榴弾,Crag S Lv3,,,yes,,no,yes,99,,3,yes,yes
108,Clust S Lv1,Clust S Lv1,Clust S Lv1,LV1 拡散弾,Clust S Lv1,,,yes,,no,yes,99,,2,no,no
109,Clust S Lv2,Clust S Lv2,Clust S Lv2,LV2 拡散弾,Clust S Lv2,,,yes,,no,yes,99,,3,no,no
110,Clust S Lv3,Clust S Lv3,Clust S Lv3,LV3 拡散弾,Clust S Lv3,,,yes,,no,yes,99,,3,yes,yes
111,Flaming S,Flaming S,Flaming S,火炎弾,Flaming S,,,yes,,no,yes,99,,3,no,no
112,Water S,Water S,Water S,水冷弾,Water S,,,yes,,no,yes,99,,3,no,no
113,Thunder S,Thunder S,Thunder S,電撃弾,Thunder S,,,yes,,no,yes,99,,3,no,no
114,Freeze S,Freeze S,Freeze S,氷結弾,Freeze S,,,yes,,no,yes,99,,3,no,yes
115,Dragon S,Dragon S,Dragon S,滅龍弾,Dragon S,,,yes,,no,yes,99,,5,no,yes
116,Recov S Lv1,Recov S Lv1,Recov S Lv1,LV1 回復弾,Recov S Lv1,,,yes,,no,yes,99,,1,no,no
117,Recov S Lv2,Recov S Lv2,Recov S Lv2,LV2 回復弾,Recov S Lv2,,,yes,,no,yes,99,,2,no,no
118,Poison S Lv1,Poison S Lv1,Poison S Lv1,LV1 毒弾,Poison S Lv1,,,yes,,no,yes,99,,2,no,no
119,Poison S Lv2,Poison S Lv2,Poison S Lv2,LV2 毒弾,Poison S Lv2,,,yes,,no,yes,99,,3,no,no
120,Para S Lv1,Para S Lv1,Para S Lv1,LV1 麻痺弾,Para S Lv1,,,yes,,no,yes,99,,3,no,no
121,Para S Lv2,Para S Lv2,Para S Lv2,LV2 麻痺弾,Para S Lv2,,,yes,,no,yes,99,,4,no,no
122,Sleep S Lv1,Sleep S Lv1,Sleep S Lv1,LV1 睡眠弾,Sleep S Lv1,,,yes,,no,yes,99,,3,no,no
123,Sleep S Lv2,Sleep S Lv2,Sleep S Lv2,LV2 睡眠弾,Sleep S Lv2,,,yes,,no,yes,99,,4,no,no
124,Tranq S,Tranq S,Tranq S,捕獲用麻酔弾,Tranq S,,,yes,,no,yes,99,,4,no,no
125,Paint S,Paint S,Paint S,ペイント弾,Paint S,,,yes,,no,yes,99,,1,no,no
126,Demon S,Demon S,Demon S,鬼人弾,Demon S,,,yes,,no,yes,99,,3,no,no
127,Armor S,Armor S,Armor S,硬化弾,Armor S,,,yes,,no,yes,99,,3,no,no
128,No Coating,No Coating,No Coating,ビン無し,No Coating,,,no,not a real item - bow coating UI placeholder,no,no,0,,,no,no
129,Empty Bottle,Empty Bottle,Empty Bottle,空きビン,Empty Bottle,,,yes,,no,yes,99,,1,no,no
130,Power Coating,Power Coating,PowerCoating,強撃ビン,Power Coating,,,yes,,no,yes,99,,2,no,no
131,Poison Coating,Poison Coating,PoisonCoatng,毒ビン,Poison Coating,,,yes,,no,yes,99,,3,no,no
132,ParalysisCoating,ParalysisCoating,Para Coating,麻痺ビン,ParalysisCoating,,,yes,,no,yes,99,,3,no,no
133,Sleep Coating,Sleep Coating,SleepCoating,睡眠ビン,Sleep Coating,,,yes,,no,yes,99,,3,no,no
134,CloseRngCoating,CloseRngCoating,RazorCoating,接撃ビン,CloseRngCoating,,,yes,,no,yes,99,,3,no,no
135,Paint Coating,Paint Coating,PaintCoating,ペイントビン,Paint Coating,,,yes,,no,yes,99,,1,no,no
136,Cricket,Cricket,Cricket,釣りバッタ,Cricket,,,yes,,no,yes,99,,1,no,no
137,Worm,Worm,Worm,釣りミミズ,Worm,,,yes,,no,yes,99,,1,no,no
138,Firefly,Firefly,Firefly,釣りホタル,Firefly,,,yes,,no,yes,99,,2,no,no
139,Frog,Frog,Frog,釣りカエル,Frog,,,yes,,no,yes,99,,2,yes,yes
140,Tuna Bait,Tuna Bait,Tuna Bait,マグダンゴ,Tuna Bait,,,yes,,no,yes,99,,2,no,no
141,Arrowana Bait,Arrowana Bait,Arrowana Bait,アロダンゴ,Arrowana Bait,,,yes,,no,yes,99,,2,no,no
142,Goldenfish Bait,Goldenfish Bait,Goldenfish Bait,黄金ダンゴ,Goldenfish Bait,,,yes,,no,yes,99,,4,no,no
143,Mega Fishing Fly,Mega Fishing Fly,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,,,yes,,no,yes,99,,3,no,no
144,Old Pickaxe,Old Pickaxe,Old Pickaxe,ボロピッケル,Old Pickaxe,,,yes,,no,yes,99,,1,no,yes
145,Iron Pickaxe,Iron Pickaxe,Iron Pickaxe,ピッケル,Iron Pickaxe,,,yes,,no,yes,99,,1,no,no
146,Mega Pickaxe,Mega Pickaxe,Mega Pickaxe,ピッケルグレート,Mega Pickaxe,,,yes,,no,yes,99,,3,no,no
147,Expand Pickaxe,Expand Pickaxe,Expand Pickaxe,フエールピッケル,Expand Pickaxe,,,yes,,no,yes,99,,5,yes,no
148,Old Bugnet,Old Bugnet,Old Bugnet,ボロ虫あみ,Old Bugnet,,,yes,,no,yes,99,,1,no,yes
149,Bugnet,Bugnet,Bugnet,虫あみ,Bugnet,,,yes,,no,yes,99,,1,no,yes
150,Mega Bugnet,Mega Bugnet,Mega Bugnet,虫あみグレート,Mega Bugnet,,,yes,,no,yes,99,,3,no,no
151,BBQ Spit,BBQ Spit,BBQ Spit,肉焼きセット,BBQ Spit,,,yes,,no,yes,99,,4,no,no
152,Gourmet BBQ Spit,Gourmet BBQ Spit,Gourmet BBQ Spit,高級肉焼きセット,Gourmet BBQ Spit,,,yes,,no,yes,99,,4,no,no
153,Whetstone,Whetstone,Whetstone,砥石,Whetstone,,,yes,,no,yes,99,,1,no,no
154,Binoculars,Binoculars,Binoculars,双眼鏡,Binoculars,,,yes,,no,yes,99,,1,no,no
155,Garbage,Garbage,Garbage,もえないゴミ,Garbage,,,yes,,no,yes,99,,1,yes,yes
156,Flute,Flute,Flute,角笛,Flute,,,yes,,no,yes,99,,2,no,no
157,Health Flute,Health Flute,Health Flute,回復笛,Health Flute,,,yes,,no,yes,99,,4,no,no
158,Antidote Flute,Antidote Flute,Antidote Flute,解毒笛,Antidote Flute,,,yes,,no,yes,99,,4,no,yes
159,Demon Flute,Demon Flute,Demon Flute,鬼人笛,Demon Flute,,,yes,,no,yes,99,,5,no,no
160,Armor Flute,Armor Flute,Armor Flute,硬化笛,Armor Flute,,,yes,,no,yes,99,,5,no,no
161,Honey,Honey,Honey,ハチミツ,Honey,,,yes,,no,yes,99,,2,yes,yes
162,Sunset Herb,Sunset Herb,Sunset Herb,落陽草,Sunset Herb,,,yes,,no,yes,99,,2,no,no
163,Herb,Herb,Herb,薬草,Herb,,,yes,,no,yes,99,,1,no,yes
164,Antidote Herb,Antidote Herb,Antidote Herb,げどく草,Antidote Herb,,,yes,,no,yes,99,,1,no,no
165,Fire Herb,Fire Herb,Fire Herb,火薬草,Fire Herb,,,yes,,no,yes,99,,2,no,yes
166,Ivy,Ivy,Ivy,ツタの葉,Ivy,,,yes,,no,yes,99,,1,no,no
167,Sleep Herb,Sleep Herb,Sleep Herb,ネムリ草,Sleep Herb,,,yes,,no,yes,99,,1,no,no
168,Sap Plant,Sap Plant,Sap Plant,ネンチャク草,Sap Plant,,,yes,,no,yes,99,,1,no,no
169,Felvine,Felvine,Felvine,マタタビ,Felvine,,,yes,,no,yes,99,,1,no,no
170,Cactus Flower,Cactus Flower,Cactus Flower,サボテンの花,Cactus Flower,,,yes,,no,yes,99,,2,no,no
171,Hot Pepper,Hot Pepper,Hot Pepper,トウガラシ,Hot Pepper,,,yes,,no,yes,99,,2,yes,yes
172,Dosbiscus,Dosbiscus,Dosbiscus,ドスビスカス,Dosbiscus,,,yes,,no,yes,99,,4,yes,no
173,Mountain Herbs,Mountain Herbs,Mountain Herb,雪山草,Mountain Herbs,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
174,Giant Corn,Giant Corn,Great Corn,オオモロコシ,Giant Corn,,,yes,,no,yes,99,,5,yes,no
175,Special Mushroom,Special Mushroom,Special Mushroom,特産キノコ,Special Mushroom,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
176,Select Mushroom,Select Mushroom,Select Mushroom,厳選キノコ,Select Mushroom,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
177,Blue Mushroom,Blue Mushroom,Blue Mushroom,アオキノコ,Blue Mushroom,,,yes,,no,yes,99,,2,no,no
178,Nitroshroom,Nitroshroom,Nitroshroom,ニトロダケ,Nitroshroom,,,yes,,no,yes,99,,2,no,no
179,Parashroom,Parashroom,Parashroom,マヒダケ,Parashroom,,,yes,,no,yes,99,,3,no,no
180,Toadstool,Toadstool,Toadstool,毒テングダケ,Toadstool,,,yes,,no,yes,99,,2,no,no
181,Exciteshroom,Exciteshroom,Exciteshroom,ドキドキノコ,Exciteshroom,,,yes,,no,yes,99,,3,yes,yes
182,Dragon Toadstool,Dragon Toadstool,Dragon Toadstool,マンドラゴラ,Dragon Toadstool,,,yes,,no,yes,99,,3,no,no
183,Spicy Mushroom,Spicy Mushroom,Spicy Mushroom,特産キノコキムチ,Spicy Mushroom,,,yes,,no,yes,99,,3,yes,yes
184,Chaos Mushroom,Chaos Mushroom,Chaoshroom,混沌茸,Chaos Mushroom,,,yes,,no,yes,99,,4,yes,no
185,Paintberry,Paintberry,Paintberry,ペイントの実,Paintberry,,,yes,,no,yes,99,,1,no,no
186,Power Seed,Power Seed,Power Seed,怪力の種,Power Seed,,,yes,,no,yes,99,,2,no,yes
187,Armor Seed,Armor Seed,Armor Seed,忍耐の種,Armor Seed,,,yes,,no,yes,99,,2,no,yes
188,Dragon Seed,Dragon Seed,Dragon Seed,龍殺しの実,Dragon Seed,,,yes,,no,yes,99,,2,yes,yes
189,Scatternut,Scatternut,Scatternut,はじけクルミ,Scatternut,,,yes,,no,yes,99,,2,no,no
190,Needleberry,Needleberry,Needleberry,ハリの実,Needleberry,,,yes,,no,yes,99,,1,no,no
191,Bomberry,Bomberry,Bomberry,カクサンの実,Bomberry,,,yes,,no,yes,99,,2,no,no
192,Tropical Berry,Tropical Berry,Tropical Berry,熱帯イチゴ,Tropical Berry,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
193,Frozen Berry,Frozen Berry,Frozen Berry,氷結晶イチゴ,Frozen Berry,,,yes,,no,yes,99,,3,yes,yes
194,Red Seed,Red Seed,Red Seed,赤の種,Red Seed,,,yes,,no,yes,99,,2,no,no
195,Green Seed,Green Seed,Green Seed,緑の種,Green Seed,,,yes,,no,yes,99,,2,no,no
196,Yellow Seed,Yellow Seed,Yellow Seed,黄の種,Yellow Seed,,,yes,,no,yes,99,,4,no,no
197,Beautiful Shell,Beautiful Shell,Beautiful Shell,きれいな貝殻,Beautiful Shell,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
198,Black Pearl,Black Pearl,Black Pearl,黒真珠,Black Pearl,,,yes,,no,yes,99,,4,yes,no
199,Giant Blk Pearl,Giant Blk Pearl,Black Pearl+,極上黒真珠,Giant Blk Pearl,,,yes,,no,yes,99,,5,yes,no
200,Stone,Stone,Stone,石ころ,Stone,,,yes,,no,yes,99,,1,yes,yes
201,Disk Stone,Disk Stone,Disk Stone,円盤石,Disk Stone,,,yes,,no,yes,99,,4,yes,no
202,Iron Ore,Iron Ore,Iron Ore,鉄鉱石,Iron Ore,,,yes,,no,yes,99,,4,yes,no
203,Earth Crystal,Earth Crystal,Earth Crystal,大地の結晶,Earth Crystal,,,yes,,no,yes,99,,4,yes,no
204,Machalite Ore,Machalite Ore,Machalite Ore,マカライト鉱石,Machalite Ore,,,yes,,no,yes,99,,5,yes,no
205,Dragonite Ore,Dragonite Ore,Dragonite Ore,ドラグライト鉱石,Dragonite Ore,,,yes,,no,yes,99,,5,yes,no
206,Carbalite Ore,Carbalite Ore,Carbalite Ore,カブレライト鉱石,Carbalite Ore,,,yes,,no,yes,99,,5,yes,no
207,Eltalite Ore,Eltalite Ore,Etherlite Ore,エルトライト鉱石,Eltalite Ore,,,yes,,no,yes,99,,5,yes,no
208,Union Ore,Union Ore,Union Ore,ユニオン鉱石,Union Ore,,,yes,,no,yes,99,,5,yes,no
209,Mellanje Ore,Mellanje Ore,Melange Ore,メランジェ鉱石,Mellanje Ore,,,yes,,no,yes,99,,5,yes,no
210,Firestone,Firestone,Fire Stone,紅蓮石,Firestone,,,yes,,no,yes,99,,5,yes,no
211,Firecell Stone,Firecell Stone,Firecell Stone,獄炎石,Firecell Stone,,,yes,,no,yes,99,,5,yes,no
212,Coal,Coal,Coal,燃石炭,Coal,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
213,Goldstone Piece,Goldstone Piece,Goldstone Piece,黄金石のかけら,Goldstone Piece,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
214,Goldstone Hunk,Goldstone Hunk,Goldstone Hunk,黄金石の塊,Goldstone Hunk,Account Item,精算アイテム,no,quest-only: Account Item tag,no,no,0,,,no,no
215,Lightcrystal,Lightcrystal,Lightcrystal,ライトクリスタル,Lightcrystal,,,yes,,no,yes,99,,5,yes,no
216,Novacrystal,Novacrystal,Nova Crystal,ノヴァクリスタル,Novacrystal,,,yes,,no,yes,99,,5,yes,no
217,Purecrystal,Purecrystal,Pure Crystal,ピュアクリスタル,Purecrystal,,,yes,,no,yes,99,,5,yes,no
218,Antiseptic Stone,Antiseptic Stone,Antiseptic Stone,抗菌石,Antiseptic Stone,,,yes,,no,yes,99,,3,yes,yes
219,Ice Crystal,Ice Crystal,Ice Crystal,氷結晶,Ice Crystal,,,yes,,no,yes,99,,2,yes,yes
